# Biokinesis-SDK IMU Export
# sensor_id: 1
# label: Xiao_Arm
# exported_at: 2026-05-02T23:18:19
timestamp_us,qw,qx,qy,qz,roll_rad,pitch_rad,yaw_rad
998296375.0,0.08387820,-0.63783210,0.72448651,-0.24749537,-2.64702700,-0.19542527,-1.74732378
998306141.0,0.10034393,-0.63165603,0.72509592,-0.25529916,-2.61224319,-0.17794211,-1.75666624
998316883.0,0.11139058,-0.62497634,0.72821415,-0.25826511,-2.59221774,-0.16128511,-1.76862849
998326649.0,0.12026178,-0.61822019,0.73101540,-0.26259737,-2.57279058,-0.14941489,-1.78135934
998336414.0,0.12536755,-0.61204343,0.73435586,-0.26534371,-2.56086810,-0.14114313,-1.79422565
998346180.0,0.12817041,-0.60652496,0.73804038,-0.26645115,-2.55469919,-0.13443323,-1.80647860
998356922.0,0.13739849,-0.60028039,0.74187989,-0.26532872,-2.54436858,-0.11492976,-1.81643355
998366688.0,0.14845795,-0.59508815,0.74763031,-0.25471407,-2.54792971,-0.08126073,-1.82190769
998376454.0,0.15933936,-0.59057766,0.75057312,-0.24993798,-2.54202664,-0.05605325,-1.82559839
998406727.0,0.17697954,-0.58055825,0.74843569,-0.26734693,-2.49018563,-0.04552105,-1.83747992
998422352.0,0.19097170,-0.56088410,0.74884044,-0.29694585,-2.42118923,-0.04710716,-1.87361151
998437000.0,0.20106261,-0.53960797,0.74361309,-0.33975967,-2.33208465,-0.06770018,-1.91512775
998446766.0,0.20999452,-0.51961307,0.73813573,-0.37557982,-2.25457199,-0.08039001,-1.95305144
998456532.0,0.22004908,-0.50792042,0.73242819,-0.39641417,-2.20282002,-0.08044013,-1.96974150
998466297.0,0.22722666,-0.50382015,0.73039329,-0.40132150,-2.18478546,-0.07252162,-1.97152781
998477039.0,0.23928989,-0.49436034,0.72736149,-0.41145287,-2.15057500,-0.05874524,-1.97945837
998486805.0,0.25288712,-0.47751809,0.72183247,-0.43241470,-2.09289857,-0.04790573,-2.00041815
998496571.0,0.27062674,-0.45363402,0.71341125,-0.46045817,-2.01494996,-0.03162793,-2.02881942
998506336.0,0.28875725,-0.42229969,0.70407762,-0.49250068,-1.92638244,-0.00935087,-2.06756271
998517079.0,0.29529632,-0.38735221,0.70054177,-0.52153579,-1.85627235,0.00969888,-2.12414770
998526844.0,0.29913599,-0.34982892,0.70007106,-0.54592847,-1.79785492,0.03687812,-2.18543927
998536610.0,0.29909933,-0.31480839,0.70221604,-0.56420556,-1.75667706,0.06487690,-2.24488257
998546375.0,0.29314046,-0.28274027,0.70879790,-0.57596193,-1.73690105,0.08998079,-2.30630937
998557118.0,0.28025135,-0.25804496,0.71791325,-0.58264272,-1.73637978,0.10187239,-2.36519563
998566883.0,0.26704106,-0.23696851,0.73185754,-0.58044770,-1.75664604,0.11603659,-2.41903120
998576649.0,0.25501979,-0.21880513,0.74718724,-0.57341123,-1.78661874,0.13053483,-2.46677573
998586414.0,0.24531867,-0.20142178,0.75576914,-0.57276611,-1.79849994,0.14053557,-2.50891434
998597157.0,0.24164137,-0.18713285,0.75510808,-0.58000219,-1.78518710,0.14839987,-2.53609430
998606922.0,0.24529875,-0.17517873,0.74739431,-0.59206645,-1.75267702,0.15991560,-2.54785875
998616688.0,0.25708012,-0.16388672,0.72701735,-0.61522088,-1.68354082,0.17301219,-2.54355153
998626454.0,0.27322191,-0.15082195,0.69484415,-0.64791522,-1.58210144,0.18531243,-2.53086566
998636219.0,0.29133134,-0.13698905,0.65604012,-0.68262099,-1.46692380,0.19648879,-2.51200912
998677235.0,0.27671465,-0.12591572,0.66797399,-0.67925326,-1.49326355,0.19994870,-2.55299307
998687000.0,0.26229148,-0.11992353,0.67958007,-0.67453129,-1.52227033,0.19596358,-2.58661061
998696766.0,0.25322074,-0.11218698,0.67455806,-0.68429874,-1.50480041,0.18921235,-2.60994023
998706532.0,0.25203399,-0.10959909,0.65756494,-0.70148076,-1.45756357,0.17864279,-2.61130659
998717274.0,0.26590318,-0.11060724,0.62267137,-0.72755886,-1.36631914,0.17102658,-2.58012129
998727039.0,0.28462671,-0.11239333,0.57921655,-0.75555514,-1.25801079,0.16057141,-2.53799983
998736805.0,0.30254509,-0.12058423,0.54009454,-0.77603079,-1.16869861,0.14010971,-2.49087394
998746571.0,0.31486057,-0.13489742,0.51795622,-0.78382834,-1.12643092,0.11494810,-2.45028845
998757313.0,0.32138402,-0.14937897,0.51573307,-0.78001130,-1.13130618,0.09862195,-2.42257451
998767079.0,0.32475895,-0.16194864,0.52144669,-0.77226784,-1.15346275,0.08866965,-2.40314405
998781727.0,0.32800876,-0.17581587,0.52260758,-0.76705955,-1.16691308,0.07318255,-2.38174139
998812000.0,0.34270374,-0.17607781,0.49079522,-0.78145429,-1.09607550,0.06123947,-2.35240478
998821766.0,0.35676072,-0.17756167,0.46881731,-0.78829181,-1.04938249,0.05459750,-2.32321382
998831532.0,0.37128330,-0.17388256,0.44939655,-0.79369787,-1.00450192,0.05771848,-2.29820234
