# Biokinesis-SDK Export,
# sensor_id: 1,
# label: Xiao_Arm,
# signal: emg_filtered,
# unit: uV,
# exported_at: 2026-05-02T23:18:19,
timestamp_us,emg_uV
1004721063,1683.868571
1004722063,2053.739765
1004723063,2668.800406
1004724063,2262.202508
1004725063,1022.137777
1004726063,155.630238
1004726829,-6604.660073
1004727829,-2157.491945
1004728829,2583.224535
1004729829,8605.401001
1004730829,14354.18239
1004731829,15765.77243
1004732829,11417.67027
1004733829,5093.005335
1004734829,1111.617253
1004735829,-92.479238
1004736594,30399.35843
1004737594,23055.72053
1004738594,14421.62855
1004739594,5427.356201
1004740594,-10834.47314
1004741594,-35442.29128
1004742594,-51141.44195
1004743594,-41612.9363
1004744594,-18092.0266
1004745594,-2858.995933
1004746360,-39469.10399
1004747360,-65796.4839
1004748360,-60972.89455
1004749360,-43693.28079
1004750360,-27119.10899
1004751360,-7439.571148
1004752360,12460.52994
1004753360,18541.98926
1004754360,10507.33968
1004755360,2454.770863
1004757102,-17091.88222
1004758102,-14536.82252
1004759102,-8494.933852
1004760102,-2801.994187
1004761102,3961.123918
1004762102,13699.69288
1004763102,20447.28864
1004764102,17026.34593
1004765102,7520.264537
1004766102,1222.375295
1004766868,21710.93014
1004767868,27320.82425
1004768868,22959.96683
1004769868,15078.07718
1004770868,5467.059472
1004771868,-8217.927088
1004772868,-19955.00123
1004773868,-19382.10673
1004774868,-9362.677433
1004775868,-1759.218675
1004776633,-11340.43619
1004777633,-29049.76076
1004778633,-32871.4698
1004779633,-26922.11862
1004780633,-17781.20315
1004781633,-7448.754597
1004782633,1686.612944
1004783633,5166.553488
1004784633,3286.109619
1004785633,907.254149
1004786399,-6368.536942
1004787399,-18709.45318
1004788399,-20493.69286
1004789399,-15672.26151
1004790399,-10813.55601
1004791399,-7532.232983
1004792399,-4427.222066
1004793399,-1604.242105
1004794399,-113.38401
1004795399,214.362521
1004797141,-19762.87609
1004798141,-28028.26566
1004799141,-30191.97106
1004800141,-29944.20046
1004801141,-21317.44464
1004802141,2427.331678
1004803141,27336.64456
1004804141,30767.0409
1004805141,15635.00664
1004806141,3071.954793
1004806907,50233.57894
1004807907,62164.73
1004808907,54482.28332
1004809907,34430.74814
1004810907,4289.466489
1004811907,-34096.94862
1004812907,-60251.0039
1004813907,-52494.09887
1004814907,-23859.05256
1004815907,-4177.476007
1004816672,-32180.25842
1004817672,-60010.28014
1004818672,-60600.5401
1004819672,-50108.00501
1004820672,-37365.68568
1004821672,-15761.52725
1004822672,9643.435742
1004823672,19542.21866
1004824672,11772.35575
1004825672,2841.241587
1004826438,4041.758544
1004827438,9037.158807
1004828438,12544.67059
1004829438,12215.76423
1004830438,6464.792651
1004831438,-3439.221276
1004832438,-11190.2847
1004833438,-10880.19165
1004834438,-5168.774806
1004835438,-965.540197
1004837180,-16146.36072
1004838180,-16204.93817
1004839180,-10207.7048
1004840180,-2586.869535
1004841180,4538.308768
1004842180,11521.53994
1004843180,15495.25624
1004844180,12530.7436
1004845180,5528.577242
1004846180,911.234063
1004846946,33837.25088
1004847946,32836.30967
1004848946,22171.35567
1004849946,9586.438027
1004850946,-5036.80829
1004851946,-25057.89543
1004852946,-39986.97671
1004853946,-34706.74315
1004854946,-15855.37498
1004855946,-2708.636328
1004856711,-39471.66696
1004857711,-82258.35658
1004858711,-92209.21049
1004859711,-81084.00758
1004860711,-56252.09991
1004861711,-14900.90684
1004862711,26083.33642
1004863711,37032.60571
1004864711,20374.82919
1004865711,4571.51405
1004866477,5831.12088
1004867477,18023.33925
1004868477,22355.19109
1004869477,19347.28459
1004870477,12334.54748
1004871477,3485.562978
1004872477,-3903.103669
1004873477,-5840.132439
1004874477,-3260.916958
1004875477,-781.059053
1004876243,3551.482017
1004877243,13396.00976
1004878243,23816.39632
1004879243,33352.40615
1004880243,31807.25926
1004881243,11362.08525
1004882243,-14434.92443
1004883243,-22480.19633
1004884243,-12526.48728
1004885243,-2685.862832
1004886985,-19992.58509
1004887985,-70693.51509
1004888985,-95209.82957
1004889985,-99471.51735
1004890985,-83437.69179
1004891985,-40083.40289
1004892985,10804.43062
1004893985,31591.15277
1004894985,19704.38093
1004895985,4886.510116
1004896750,-5848.622537
1004897750,19902.44457
1004898750,39224.84054
1004899750,45905.21863
1004900750,38823.61939
1004901750,20883.61741
1004902750,1957.082821
1004903750,-6650.650099
1004904750,-4898.436174
1004905750,-1434.731452
1004906516,11468.94552
1004907516,19426.80201
1004908516,15722.36782
1004909516,9274.53885
1004910516,7140.104658
1004911516,6788.098157
1004912516,4111.623319
1004913516,722.646589
1004914516,-546.15702
1004915516,-340.217402
1004916282,47992.62043
1004917282,25130.20038
1004918282,6773.446777
1004919282,-4134.211178
1004920282,-23804.30102
1004921282,-60086.37628
1004922282,-85788.41989
1004923282,-70593.13903
1004924282,-30969.25462
1004925282,-4855.27834
1004927024,-147631.1099
1004928024,-170846.419
1004929024,-116342.4403
1004930024,-39216.95706
1004931024,22522.6711
1004932024,72310.74941
1004933024,100642.8336
1004934024,83165.2352
1004935024,37407.3345
1004936024,6517.140422
1004936789,46946.43159
1004937789,75354.39006
1004938789,74346.89527
1004939789,59731.46967
1004940789,37353.14026
1004941789,932.117146
1004942789,-34704.73391
1004943789,-40978.52773
1004944789,-21357.25025
1004945789,-4450.464479
1004946555,-19732.638
1004947555,-26227.68814
1004948555,-18550.60083
1004949555,-3666.326126
1004950555,7879.667019
1004951555,11143.41867
1004952555,8068.003681
1004953555,3554.402967
1004954555,869.727979
1004955555,61.815704
1004956321,36341.49471
1004957321,14885.34556
1004958321,-2603.94193
1004959321,-17357.63501
1004960321,-37365.10151
1004961321,-60525.35335
1004962321,-68337.90084
1004963321,-49223.0689
1004964321,-19757.78987
1004965321,-2651.598452
1004967063,-80688.21838
1004968063,-102192.9636
1004969063,-71204.54861
1004970063,-21621.85165
1004971063,13770.03012
1004972063,32211.35417
1004973063,38558.93119
1004974063,30278.95062
1004975063,13575.11704
1004976063,2465.396188
1004976829,-5615.183106
1004977829,13126.28584
1004978829,26960.90511
1004979829,31832.13245
1004980829,27569.40542
1004981829,17534.90542
1004982829,7541.53396
1004983829,1716.984913
1004984829,-172.386847
1004985829,-398.389936
1004986594,59500.19138
1004987594,86079.2193
1004988594,87107.25285
1004989594,67916.23948
1004990594,27746.88533
1004991594,-31511.96889
1004992594,-77037.22856
1004993594,-72455.1446
